tl,tm,tr,ml,mm,mr,bl,bm,br,result
x,x,o,b,x,x,o,o,b,in_progress
b,o,o,x,b,x,x,x,o,in_progress
b,b,o,x,b,o,x,o,b,in_progress
o,x,o,o,b,x,x,o,x,in_progress
o,b,b,o,x,b,x,b,x,in_progress
o,x,b,b,o,b,x,x,b,in_progress
o,x,o,o,x,x,x,o,b,in_progress
b,x,b,x,b,b,o,b,o,in_progress
b,o,o,b,o,x,x,x,b,in_progress
x,o,x,x,b,b,b,o,b,in_progress
b,o,x,o,b,o,b,x,x,in_progress
x,o,o,x,x,b,b,x,o,in_progress
x,b,o,x,b,b,b,b,b,in_progress
o,x,x,x,o,b,b,b,b,in_progress
b,x,x,b,x,o,o,b,b,in_progress
b,x,b,o,b,o,b,x,b,in_progress
b,x,x,o,b,o,x,o,x,in_progress
x,b,x,o,x,o,b,o,o,in_progress
b,x,o,o,b,x,o,b,b,in_progress
x,o,b,b,o,b,x,x,b,in_progress
b,x,x,x,o,b,o,o,x,in_progress
b,b,x,x,x,b,b,o,o,in_progress
o,x,x,o,b,o,b,o,x,in_progress
x,o,b,o,o,b,x,b,x,in_progress
x,o,b,b,o,x,o,x,x,in_progress
o,x,x,o,o,b,b,x,x,in_progress
x,b,o,b,b,o,x,o,x,in_progress
b,x,b,o,b,o,x,o,x,in_progress
x,b,b,o,o,b,o,b,x,in_progress
b,o,b,b,o,b,x,x,b,in_progress
o,o,x,b,o,x,x,x,b,in_progress
x,o,x,x,b,o,b,o,o,in_progress
b,x,b,o,o,b,b,o,x,in_progress
o,x,o,x,b,o,x,o,b,in_progress
x,o,b,o,b,x,b,b,o,in_progress
b,b,x,b,o,o,x,b,o,in_progress
x,b,o,o,b,x,x,o,o,in_progress
b,b,b,o,b,b,o,x,b,in_progress
b,x,o,b,b,o,x,b,x,in_progress
o,x,x,o,o,x,b,b,b,in_progress
x,x,o,b,b,o,b,o,b,in_progress
b,x,b,o,o,x,b,b,b,in_progress
b,b,b,o,b,o,x,b,x,in_progress
b,x,x,b,b,o,x,o,b,in_progress
b,o,o,b,x,x,b,b,b,in_progress
x,x,b,b,b,o,b,b,b,in_progress
x,o,b,o,b,x,b,x,b,in_progress
x,o,x,b,o,o,b,b,x,in_progress
b,b,b,o,x,o,o,b,x,in_progress
x,b,o,b,b,o,b,b,b,in_progress
o,x,b,b,b,o,b,o,x,in_progress
x,b,x,o,b,o,x,o,b,in_progress
b,o,x,b,x,b,o,x,b,in_progress
o,o,x,b,b,o,x,o,x,in_progress
b,b,b,x,o,o,o,x,x,in_progress
o,b,o,x,o,b,b,b,x,in_progress
x,x,o,b,o,o,b,x,b,in_progress
x,x,o,x,o,o,b,b,x,in_progress
b,b,x,b,b,o,x,b,b,in_progress
b,o,x,o,b,b,b,x,o,in_progress
o,o,b,b,x,o,x,o,x,in_progress
x,x,o,o,x,b,b,b,b,in_progress
b,b,o,x,b,o,o,b,x,in_progress
b,x,o,b,b,b,b,o,x,in_progress
b,x,o,b,o,x,b,o,x,in_progress
o,o,b,b,o,x,b,x,b,in_progress
x,o,b,b,b,o,b,o,x,in_progress
o,b,x,b,o,x,x,b,b,in_progress
x,o,o,x,x,o,b,x,b,in_progress
o,o,b,x,b,b,x,x,b,in_progress
o,o,x,o,b,b,b,x,x,in_progress
b,x,x,o,x,x,o,o,b,in_progress
x,x,o,o,b,b,o,b,b,in_progress
o,o,x,x,x,o,b,o,b,in_progress
x,o,x,x,o,x,o,b,b,in_progress
b,o,b,x,o,b,o,b,x,in_progress
x,b,o,b,o,x,x,x,o,in_progress
x,x,b,o,b,b,b,x,o,in_progress
b,x,b,x,o,b,b,b,o,in_progress
x,b,x,o,b,b,x,b,o,in_progress
o,o,b,x,x,o,o,b,x,in_progress
b,b,b,o,x,o,x,o,b,in_progress
x,b,x,o,o,x,b,b,b,in_progress
o,b,b,o,o,x,x,b,b,in_progress
o,b,b,x,b,x,b,b,o,in_progress
b,o,x,b,b,b,x,x,o,in_progress
b,b,b,x,x,o,o,b,o,in_progress
x,x,b,o,o,x,b,b,o,in_progress
b,b,x,b,o,x,b,x,o,in_progress
b,x,b,o,b,o,x,b,o,in_progress
b,b,b,b,b,o,x,b,x,in_progress
